Page #,Question #,Question Text,Answer
99,53,Film based PK Dick story We can remember it for you wholesale,Total Recall
99,55,Who sang Move em out head em up head em up move em on,Frankie Lane Rawhide
99,57,Famous fictional character first appeared in Meet the Tiger 1928,Simon Templar Saint
99,58,What was the name of the old man in The Old Man and the Sea,Santiago
99,61,What fictional doctor employed a butler named Poole,Dr Jekyll
99,64,What screen cowboy rode Tony the Wonder Horse,Tom Mix
99,67,What was the second colour film to win best picture Oscar 1951,An American in Paris
99,68,What animal in The Jungle book is also a type of uncut velvet,Bagheera
99,69,Who was the US equivalent of Alf Garnet,Archie Bunker
99,77,France named it Chapeau Melon et Bottes de Cuir what UK,The Avengers
99,79,What was the first UK TV series filmed in colour 1964/5,Stingray - a puppet series
99,81,In the man from UNCLE who were their enemies,THRUSH
99,83,Joyce Frankenberg born 1951 changed her name to what,Jane Seymour
99,84,Nadsat was a made up language in what book and film,A Clockwork Orange
99,88,Norman Maine is a character in what remade twice film,A Star is Born
99,91,What eponymous Dickens character born with a caul over head,David Copperfield
