Question #,Question Text,Answer
13,On television what was Flipper,Dolphin
16,Who starred as the Six Million Dollar Man,Lee Majors
18,Who was Dan Dare's greatest enemy,Mekon
19,What is Dick Grayson better known as,Robin (Batman and Robin)
21,What was Skippy (on TV),The bush kangaroo
25,Who played The Fugitive,David Jason
28,Who starred as Rocky Balboa,Sylvester Stallone
30,Who invented the television,John Logie Baird
40,Which film had song Springtime for Hitler,The Producers
42,What was the name of inn in Treasure Island,Admiral Benbow
45,Who wrote Gone with the Wind,Margaret Mitchell
47,Whose nose grew when he told a lie,Pinocchio
48,Who has won the most Oscars,Walt Disney
2,"Who played the character of James Bond in the movie ""Goldfinger""?",Sean Connery
4,"Which movie won the Academy Award for Best Picture in 1994?",Forrest Gump
5,"Who directed the film ""Pulp Fiction""?",Quentin Tarantino
7,"In which TV series would you find the character Walter White?",Breaking Bad
8,"Which actor is known for his role as Captain Jack Sparrow?",Johnny Depp
10,"Which city is the setting for most of the events in the movie ""Casablanca""?",Casablanca
11,"Who composed the soundtrack for ""Star Wars""?",John Williams
13,"Which historical event is depicted in the movie ""Schindler's List""?",The Holocaust
14,"What is the name of the fictional continent where ""Game of Thrones"" is primarily set?",Westeros
15,"Who won the Oscar for Best Actress for her role in ""The Queen""?",Helen Mirren
1,Who played the iconic role of Darth Vader in the original Star Wars trilogy?,David Prowse (voice by James Earl Jones)
2,Which movie won the Academy Award for Best Picture in 2020?,Parasite
3,In the TV series "Friends," what is the name of the coffee shop where the characters often hang out?,Central Perk
4,Who directed the critically acclaimed film "Pulp Fiction"?,Quentin Tarantino
5,Which actor is known for his roles as Jack Sparrow in the Pirates of the Caribbean series?,Johnny Depp
6,What is the name of the fictional wizarding school in the Harry Potter series?,Hogwarts School of Witchcraft and Wizardry
7,Who composed the famous theme music for the movie "Jaws"?,John Williams
8,Which animated film features a character named Simba?,The Lion King
9,What is the title of the first James Bond movie?,Dr. No
10,Who wrote the novel "The Lord of the Rings," which was adapted into a major film trilogy?,J.R.R. Tolkien
11,Which actress played Katniss Everdeen in "The Hunger Games" film series?,Jennifer Lawrence
12,What is the name of the fictional city where Batman operates?,Gotham City
13,Which TV show is set in the fictional continent of Westeros?,Game of Thrones
15,Who voices the character of Woody in the "Toy Story" films?,Tom Hanks
16,Which film features the famous line, "Here's looking at you, kid"?,Casablanca
17,Who played the role of Severus Snape in the Harry Potter films?,Alan Rickman
18,Which movie is famous for its "bullet time" special effects?,The Matrix
19,What is the name of the villain in the Disney movie "The Little Mermaid"?,Ursula
20,Which TV series is known for its fictional drug lord Walter White?,Breaking Bad
Please provide the text containing the general knowledge questions and answers. I will then extract the relevant questions and format them as a CSV.
1,"Who directed the classic film ""Pulp Fiction""?",Quentin Tarantino
2,"Which actress played the role of Katniss Everdeen in ""The Hunger Games"" film series?",Jennifer Lawrence
3,"What is the name of the fictional city where Batman operates?",Gotham City
4,"Which movie won the Academy Award for Best Picture in 1997?",Titanic
5,"Who composed the iconic theme music for the ""Star Wars"" saga?",John Williams
6,"In ""The Matrix,"" what is the color of the pill Neo takes to learn the truth?",Red
7,"Which TV series is set in the fictional continent of Westeros?",Game of Thrones
8,"Who played the character of Captain Jack Sparrow in the ""Pirates of the Caribbean"" films?",Johnny Depp
9,"Which director is known for his psychological thrillers like ""Psycho"" and ""Vertigo""?",Alfred Hitchcock
10,"What is the highest-grossing film of all time, unadjusted for inflation?",Avatar
11,"Which actor famously said, ""Here's looking at you, kid"" in the movie ""Casablanca""?",Humphrey Bogart
12,"What is the name of the wizard who guides Frodo Baggins in ""The Lord of the Rings""?",Gandalf
13,"Which science fiction film features the line, ""May the Force be with you""?",Star Wars
14,"Who won the Best Actor Oscar for his role as Forrest Gump?",Tom Hanks
15,"Which film studio released the animated movie ""Toy Story""?",Pixar
16,"What is the name of the fictional high school in ""Grease""?",Rydell High
17,"Which actor is known for his collaborations with director Martin Scorsese, including films like ""Goodfellas"" and ""Raging Bull""?",Robert De Niro
18,"In the ""Harry Potter"" series, what is the name of Harry's owl?",Hedwig
19,"What movie is famous for the quote, ""I'll be back""?",The Terminator
20,"Which actress played Hermione Granger in the ""Harry Potter"" films?",Emma Watson
21,"Who directed the epic historical drama ""Gladiator""?",Ridley Scott
22,"Which TV show is known for its fictional city of Springfield?",The Simpsons
23,"What is the name of the spaceship in ""Star Trek""?",USS Enterprise
24,"Which actor played the lead role in the movie ""Black Panther""?",Chadwick Boseman
25,"In ""E.T. the Extra-Terrestrial,"" what is E.T.'s favorite candy?",Reese's Pieces
26,"Which acclaimed TV series follows a chemistry teacher who turns to manufacturing drugs?",Breaking Bad
27,"Who voiced the character of Darth Vader in the ""Star Wars"" films?",James Earl Jones
28,"Which movie features a great white shark terrorizing a beach town?",Jaws
29,"Who composed the score for ""The Lion King""?",Hans Zimmer
30,"Which actress starred as Sarah Connor in ""The Terminator"" films?",Linda Hamilton
31,"What is the name of the fictional kingdom in ""Frozen""?",Arendelle
32,"Which film is famous for its ""bullet time"" special effect?",The Matrix
33,"Who directed the 2010 sci-fi thriller ""Inception""?",Christopher Nolan
34,"Which TV series introduced the catchphrase ""Winter is Coming""?",Game of Thrones
35,"What is the name of James Bond's signature car?",Aston Martin
36,"Who played the role of Neo in ""The Matrix""?",Keanu Reeves
37,"Which movie adaptation of a Stephen King novel is set in Shawshank Prison?",The Shawshank Redemption
38,"What year was ""Jurassic Park"" released?",1993
39,"Who is the director of the ""Lord of the Rings"" trilogy?",Peter Jackson
40,"Which actor played Wolverine in the ""X-Men"" film series?",Hugh Jackman
41,"What is the name of the villain in ""The Dark Knight""?",The Joker
