Page #,Question #,Question Text,Answer
3,53,Who won an Oscar for the African Queen,Bogart
3,54,Who sang the theme song in 9 to 5,Dolly Parton
3,56,Ringo Star narrates which children's TV series,Thomas the tank engine
3,60,In Casablanca what is the name of the nightclub,Rick's
3,61,What was the first James Bond book,Casino Royal
3,77,Who did Michael Caine play in the Ipcress File (both names),Harry Palmer
3,78,Who won Euro song contest,Save All Your Kisses For Me Brotherhood of Man
3,79,Which country had the guns of Naverone installed,Turkey
3,86,Who in books and films was the man of bronze,Doc Savage
3,87,Who was Stan Laurels partner,Oliver Hardy
3,95,Ray Bolger played who in The Wizard of Oz,Scarecrow
4,1,Who wrote the Opera Madam Butterfly,Puccini
4,6,Rudy Stevens became famous under which name,Barbara Stanwyck
4,10,Who wrote the Man in the Iron Mask,Alexander Dumas
4,11,Which 1993 Disney film starred Bet Middler as a witch,Hocus Pocus
4,13,What was the first James Bond film,Dr No
4,20,Alan Stuart Konigsberg famous as who,Woody Allen
4,26,Who wrote Northanger Abbey,Jayne Austin
4,28,Who composed the Brandeberg concertos full names,Johan Sebastian Bach
4,32,Who composed the ballets Sleeping Beauty and The Nutcracker,Tchaikovsky
4,34,Benjamin Kubelsky 1894 fame as what comedian,Jack Benny
4,36,Robin Williams dressed in drag for which 1993 film,Mrs Doubtfire
4,43,Who wrote Catch 22 (both names),Joseph Heller
4,47,Bombardier Billy Wells was seen on many Rank films - why,Hit Gong
5,54,Who wrote about Willie Wonka and the Chocolate Factory,Roald Dahl
5,56,Issur Danielovitch became famous a who,Kirk Douglas
5,58,What was the name of the plantation in Gone with the Wind,Tara
5,63,Who wrote Gulliver’s Travels (both names),Jonathon Swift
5,70,Roy Scherer jr became famous as who,Rock Hudson
5,71,Who wrote Brave New World (full name),Aldus Huxley
5,78,Who directed Dr Strangelove - 2001 - The Shining (full name),Stanley Kubrick
5,80,Who created the children's land of Narnia and Lion Witch Wardrobe,Clive Staples Lewis
5,86,Which character has been played by the most actors,Sherlock Holmes
5,93,Carlo Collodi created which famous children's character,Pinocchio
6,1,"What movie cast included James Garner, Richard Attenbourough, Steve McQueen, Charles Bronson, Donald Pleasance, James Coburn, Gordon Jackson, Angus McPhee among many others",The Great Escape
6,3,In which book would you find the manservant Pas Partout,Around the world in 80 days
6,11,Where did the mutineers of the Bounty settle,Pitcairn Islands
6,19,Who wrote the book Billy Budd also Moby Dick,Herman Melville
6,21,Barry Allen was the alter ego of which DC comic superhero,The Flash
6,26,Who wrote the children's novel Swallows and Amazons,Arthur Ransom
6,36,Paul Robeson the singer of old man river had what profession,Lawyer
6,45,"What links Samuel Delaney, Fredrick Pohl, Harlan Ellison",Science Fiction
6,46,Randolph Crane became famous as which cowboy actor,Randolph Scott
7,68,Who created Tarzan (all names) in 1914,Edgar Rice Burroughs
7,74,Which eponymous character was Thane of Cawder Glaimes,Macbeth
7,75,Who wrote the 39 steps (both names),John Buchan
7,79,Annie Mae Bullock became famous under which name (both),Tina Turner
7,82,Who won an Oscar for best supporting actor in Spartacus 1960,Peter Ustinov
7,86,In 1953 what was first successfully transmitted in the USA,Colour Television
7,87,Who wrote the Thin Man in 1934 (both names),Dashiell Hammett
7,95,Which actress starred in the original King Kong in 1933 (both),Fay Wray
8,2,Who played Billy the Kid in The Left Handed Gun,Paul Newman
8,8,Which country made the worlds first feature film in 1906,Australia Story of Kelly gang
8,9,Who wrote Gentlemen Prefer Blonds,Anita Loos
8,10,What was Norman Bates hobby in Psycho,Stuffing birds
8,13,Why did the state of Indiana ban Robin Hood in 1953,Communist – rob rich
8,16,What did Marlon Brando and George C Scott refuse,Oscars
8,20,What was Charles Dickens last (unfinished) novel,Mystery of Edwin Drood
8,27,Shirley Schrift became famous as which actress,Shelly Winters
8,30,Which 1956 film caused riots in cinemas,Rock around the clock
8,32,Who played the scarecrow in the Wiz (all black wiz of oz),Michael Jackson
8,35,Which hats became popular with children in 1956,Davy Crocket
8,36,Malden Serkiovitch famous as which actor,Karl Malden
8,38,What hospital did Dr Kildare work at,Blaire General
8,41,Who was John Dawkins better known as,Artful Dodger
8,42,Which film star has his statue in Leicester Square,Charlie Chaplin
8,43,Virginia McMath became famous as which actress,Ginger Rodgers
8,44,What is the name of Captain Ahab's ship,Peaquod
8,46,Who wrote The History of Mr Polly,H G Wells
8,48,Mr Chips said goodbye - from which fictional school,Brookfield
8,49,Who buried the treasure on Treasure Island,Captain Flint
8,50,Which TV series was narrated by Walter Winchell,The Untouchables
9,60,Who played Miss Marple in 6 films (both names),Margaret Rutherford
9,63,What was the first film made in cinemascope,The robe
9,68,Name both rival gangs in West Side Story,Sharks Jets
9,73,Which part of his body did Charlie Chaplin insure,Feet
9,76,Which author created Fu Manchu,Sax Rohmer
9,78,Who played the pawnbroker in the film of that name,Rod Stiger
9,94,Walter Koenig played which part in the Star Trek series,Ensign Chekov
9,98,What was the first Carry On film,Carry on Sergeant
9,99,Who was the female lead in The Shootist,Lauren Bacall
10,4,Joseph Levitch became famous as who,Jerry Lewis
10,8,In what Elvis film did he play a double role,Kissing Cousins
10,11,John Huston scored a hit with his first film - what?,Maltese falcon
10,12,"Stan laurel, Mickey Rooney, Lana Turner what in common",8 marriages
10,13,What real person has been played most often in films,Napoleon Bonaparte
10,17,Whose music featured in The Clockwork Orange,Beethoven
10,22,Whose first wife was actress Jayne Wyman,Ronald Regan
10,23,In MASH what is Radars favourite drink,Grape Knee High
10,26,In which film did the Rolls Royce have the number plate AU1,Goldfinger
10,32,Who wrote Les Miserable,Victor Hugo
10,36,To which London club did Mycroft Holmes belong,Diogones
10,44,In the Winnie the Pooh stories what is Kanga’s baby called,Roo
10,45,Which actor is common to Magnificent 7 and Dirty Dozen,Charles Bronson
11,54,Who wrote Dr Zhivago,Boris Pasternak
11,55,Who is Charlie Browns favourite baseball player (fictional),Joe Shlabotnik
11,93,In which city was Bob Hope born,London (Eltham)
11,97,Which actor was dubbed the muscles from Brussels,Jean Claude Van Dam
11,98,Which film star was the first to appear on a postage stamp,Grace Kelly
11,100,Which Hollywood star has made the cover of Life most times,Elizabeth Taylor (11)
12,5,Who was the hero of the old TV cop series Dragnet,Sergeant Joe Friday
12,16,Marnie Nixon what Deborah Kerr Natilie Wood Audrey Hepburn Dubbed in their singing voices,Dubbed in their singing voices
12,22,Nobody's perfect is the last line in which classic comedy film,Some Like it Hot
12,25,What three counties were Eliza Dolittle taught to pronounce,Hertford Hereford Hampshire
12,26,In Hitchcock's film The Trouble with Harry - what was the trouble,He was dead
12,30,"Who said ""Its so long since sex I forget who gets tied up""",Joan Rivers
12,38,Richard Penniman became famous as who,Little Richard
12,40,"Who said ""men are creatures with two legs and 8 hands""",Jayne Mansfield
12,44,Who sang the title song in the film Grease,Frankie Valli
12,49,Who is the most filmed author,Shakespeare over 300
13,52,What was the last item shown on British TV before WW2,Mickey Mouse
13,59,Who is the most filmed comic strip character,Zorro
13,60,Whose version of A View to a Kill reached 1 in USA 2 in UK,Duran Duran
13,72,Who created the TV series - The man from UNCLE,Ian Fleming
13,73,Which film director described actors as cattle,Alfred Hitchcock
13,74,Shirley Bassey sang three Bond themes - which 3 films,"Goldfinger,
Diamonds are 
Forever, Moonraker"
13,84,What is the first name of Mr Toad - in Toad of Toad Hall,Thaddeus
13,92,Tracey and Hepburn first film in 1942 was what,Woman of the Year
13,97,The SF award the Hugo is named after Hugo who?,Gernsbeck
13,98,Maurice Micklewhite became famous as who,Michael Caine
14,3,Who sailed in a ship called Queen Ann's Revenge,Blackbeard
14,6,Detective Philip Marlow smokes what brand,Camels
14,7,Who landed on Timor Island after being cast adrift,Captain Bligh
14,8,What is the more common name of the Chaparral Cock,The Road Runner
14,10,Ian Fleming's house was called Goldeneye - which country,Jamaica
14,11,Alfred Schneider became famous as who,Lenny Bruce
14,14,Who was the first black entertainer to win an Emmy award,Harry Bellefonte
14,15,Anthony Daniels played who in a series of films,C-P3O
14,18,Which author created Dick Tracy,Chester Gould
14,23,What was Walt Disney's middle name,Elias
14,39,In DC comics Linda Lee Danvers is whose alter ego,Supergirl
15,58,In literature who is the alter ego of Percy Blakney,Scarlet Pimpernel
15,62,Who is the Patron Saint of dancers and actors,St Vitas
15,64,Who owned the newspaper in Lou Grant - Nancy Marchand,Mrs Pyncheron
15,68,Alfred White was a famous author under which name,James Herriot
15,70,Who invented doctor Who,Terry Nation
15,73,Who (not Peter Sellers) played Inspector Clouseau in 1968,Alan Arkin
15,76,Which Dickens novel is considered an autobiography,David Copperfield
15,84,Playing card - Raymond Shaw trance - Manchurian Candidate,Queen Diamonds
15,91,In what film did Elvis play a Red Indian,Stay away Joe
16,2,What was Black Beauties original name,Darkie
16,5,What was Professor Moriarties first name,James
